Address Rule Id,Residentials Addresses Linked,Num From,Num To,RangeType,Street Name,Zip5,City,TownCode,Ward,District,CongressionalDistrictCode,AssemblyDistrictCode,SenateDistrictCode,LegislativeDistrictCode,VillageCode,SchoolCode,FireCode,CityCouncilCode,TownWardCode
1595,10,146,215,ALL,COURT ST,13208,SYRACUSE,,002,003,022,129,048,008,,,,001,
1596,1,215,215,ODD,COURT ST,13208,SYRACUSE,,002,003,022,129,048,008,,,,001,
1597,3,217,259,ODD,COURT ST,13208,SYRACUSE,,002,003,022,129,048,008,,,,001,
1598,53,304,536,EVEN,COURT ST,13208,SYRACUSE,,001,006,022,129,048,009,,,,001,
1599,46,409,809,ODD,COURT ST,13208,SYRACUSE,,001,002,022,129,048,009,,,,001,
1600,46,604,1250,EVEN,COURT ST,13208,SYRACUSE,,001,007,022,129,048,009,,,,001,
1601,55,901,1437,ODD,COURT ST,13208,SYRACUSE,,001,005,022,129,048,009,,,,001,
1602,80,1300,2216,EVEN,COURT ST,13208,SYRACUSE,,003,003,022,129,048,009,,,,001,
1603,22,1617,2005,ODD,COURT ST,13208,SYRACUSE,,001,001,022,129,048,009,,,,001,
1608,8,109,135,ALL,COURT TER,13208,SYRACUSE,,001,007,022,129,048,009,,,,001,
2520,1,215,215,ODD,COWIE AVE,13206,SYRACUSE,,004,009,022,129,048,007,,,,005,
4853,13,104,116,ALL,COYKENDALL AVE,13204,SYRACUSE,,007,001,022,129,048,008,,,,002,
4520,6,100,105,ALL,COYNE CIR,13202,SYRACUSE,,012,002,022,128,048,016,,,,004,
2784,33,110,419,ALL,CRADDOCK ST,13207,SYRACUSE,,013,001,022,128,048,015,,,,004,
2785,4,101,203,ALL,CRAFTON AVE,13207,SYRACUSE,,013,009,022,129,048,015,,,,004,
1610,4,108,115,ALL,CRAIG ST,13208,SYRACUSE,,003,004,022,129,048,009,,,,001,
1611,34,211,425,ALL,CRAIG ST,13208,SYRACUSE,,003,006,022,129,048,009,,,,001,
1612,8,509,522,ALL,CRAIG ST,13208,SYRACUSE,,003,003,022,129,048,009,,,,001,
4626,22,103,214,ALL,CRATON ST,13203,SYRACUSE,,006,006,022,129,048,009,,,,005,
6317,16,98,200,ALL,CRAWFORD AVE,13224,SYRACUSE,,017,007,022,128,048,017,,,,003,
6318,13,201,223,ODD,CRAWFORD AVE,13224,SYRACUSE,,017,009,022,128,048,015,,,,003,
6319,8,202,224,EVEN,CRAWFORD AVE,13224,SYRACUSE,,017,007,022,128,048,017,,,,003,
6320,35,225,506,ALL,CRAWFORD AVE,13224,SYRACUSE,,017,009,022,128,048,015,,,,003,
6321,51,600,914,ALL,CRAWFORD AVE,13224,SYRACUSE,,017,012,022,128,048,015,,,,003,
3673,6,107,207,ODD,CREHANGE ST,13205,SYRACUSE,,019,001,022,128,048,016,,,,004,
2786,4,110,135,ALL,CRESCENT AVE,13207,SYRACUSE,,012,001,022,128,048,015,,,,004,
2787,5,207,225,ODD,CRESCENT AVE,13207,SYRACUSE,,012,004,022,128,048,015,,,,004,
2788,9,222,260,EVEN,CRESCENT AVE,13207,SYRACUSE,,012,001,022,128,048,015,,,,004,
2523,27,116,174,ALL,CRESLINE DR,13206,SYRACUSE,,005,010,022,129,048,007,,,,005,
2789,31,106,220,ALL,CRESTVIEW DR,13207,SYRACUSE,,013,007,022,129,048,015,,,,004,
3674,44,114,224,ALL,CRIPPEN AVE,13205,SYRACUSE,,014,010,022,128,048,015,,,,004,
3675,17,111,120,ALL,CRIPPEN PL,13205,SYRACUSE,,014,010,022,128,048,015,,,,004,
6322,92,101,283,ALL,CROLY ST,13224,SYRACUSE,,017,011,022,128,048,017,,,,005,
2790,29,122,715,ALL,CROSSETT ST,13207,SYRACUSE,,012,005,022,129,048,008,,,,002,
4521,23,101,121,ALL,CROTON TER,13202,SYRACUSE,,018,001,022,128,048,016,,,,004,
6326,20,103,233,ALL,CROYDEN RD,13224,SYRACUSE,,017,012,022,128,048,015,,,,003,
4855,7,105,112,ALL,CRYSLER ST,13204,SYRACUSE,,008,002,022,129,048,008,,,,002,
1613,69,105,171,ALL,CULBERT ST,13208,SYRACUSE,,001,003,022,129,048,009,,,,001,
765,31,113,147,ALL,CUMBERLAND AVE,13210,SYRACUSE,,017,007,022,128,048,017,,,,003,
766,27,501,663,ODD,CUMBERLAND AVE,13210,SYRACUSE,,017,012,022,128,048,015,,,,003,
767,26,514,652,EVEN,CUMBERLAND AVE,13210,SYRACUSE,,017,002,022,128,048,015,,,,003,
768,69,801,1232,ALL,CUMBERLAND AVE,13210,SYRACUSE,,019,004,022,129,048,015,,,,003,
769,8,1308,1326,ALL,CUMBERLAND AVE,13210,SYRACUSE,,019,003,022,129,048,015,,,,003,
770,1,201,201,ODD,CUMBERLAND PL,13210,SYRACUSE,,017,012,022,128,048,015,,,,003,
771,1,216,216,EVEN,CUMBERLAND PL,13210,SYRACUSE,,017,002,022,128,048,015,,,,003,
1614,3,109,117,ODD,CUMMINGS AVE,13208,SYRACUSE,,002,003,022,129,048,008,,,,001,
1615,19,104,318,ALL,CURTIS ST,13208,SYRACUSE,,003,004,022,129,048,009,,,,001,
4522,55,100,139,ALL,DABLON CT,13202,SYRACUSE,,009,005,022,128,048,016,,,,004,
4856,3,102,104,EVEN,DAISY ST,13204,SYRACUSE,,012,002,022,128,048,016,,,,004,
6327,20,308,616,ALL,DAKIN ST,13224,SYRACUSE,,017,011,022,128,048,017,,,,005,
772,5,103,202,ALL,DAKOTA ST,13210,SYRACUSE,,017,002,022,128,048,015,,,,003,
773,1,401,401,ODD,DAKOTA ST,13210,SYRACUSE,,017,012,022,128,048,015,,,,003,
1616,62,103,282,ALL,DALE ST,13208,SYRACUSE,,003,003,022,129,048,009,,,,001,
1617,17,115,416,ALL,DANFORTH ST,13208,SYRACUSE,,002,003,022,129,048,008,,,,001,
1618,46,508,715,ALL,DANFORTH ST,13208,SYRACUSE,,001,006,022,129,048,009,,,,001,
1619,94,800,1063,ALL,DANFORTH ST,13208,SYRACUSE,,001,007,022,129,048,009,,,,001,
4523,13,101,121,ALL,DANFORTH TER,13202,SYRACUSE,,018,001,022,128,048,016,,,,004,
1620,69,112,524,ALL,DARLINGTON RD,13208,SYRACUSE,,003,005,022,129,048,007,,,,001,
1621,57,529,917,ALL,DARLINGTON RD,13208,SYRACUSE,,003,003,022,129,048,009,,,,001,
4857,57,102,226,ALL,DAVIS ST,13204,SYRACUSE,,010,001,022,128,048,008,,,,002,
3676,13,120,168,EVEN,DAWES AVE,13205,SYRACUSE,,014,003,022,128,048,016,,,,004,
3677,9,129,161,ODD,DAWES AVE,13205,SYRACUSE,,014,008,022,128,048,016,,,,004,
3678,8,169,213,ALL,DAWES AVE,13205,SYRACUSE,,014,008,022,128,048,016,,,,004,
774,4,1,4,ALL,DAYBREAK LN,13210,SYRACUSE,,019,006,022,129,048,016,,,,003,
3679,19,107,126,ALL,DEARBORN PL,13205,SYRACUSE,,012,002,022,128,048,016,,,,004,
7361,15,206,225,ALL,DEFOREST RD,13214,SYRACUSE,,017,017,022,128,048,017,,,,003,
7362,20,300,323,ALL,DEFOREST RD,13214,SYRACUSE,,017,013,022,128,048,017,,,,003,
4858,1,121,121,ODD,DELAWARE ST,13204,SYRACUSE,,010,003,022,128,048,015,,,,002,
